State,Month,Year,Incident,Animal,Severity,Monetary_Impact
Madhya Pradesh,1,2025,Illegal trade,Leopard,Medium,219
Tamil Nadu,9,2019,Wild animal entering populated area,Elephant,Medium,123
Kerala,1,2019,Wild animal entering populated area,Monkey,Low,66
Rajasthan,1,2019,Conflict with humans,Leopard,Critical,726
Kerala,7,2023,Conflict with humans,Tiger,High,326
Madhya Pradesh,2,2023,Illegal trade,Leopard,Medium,73
Goa,5,2022,Wild animal entering populated area,Monkey,Low,36
Kerala,8,2018,Wild animal entering populated area,Monkey,High,381
West Bengal,8,2021,Conflict with humans,Elephant,High,351
West Bengal,3,2019,Wild animal entering populated area,Elephant,High,500
Maharashtra,7,2020,Wild animal entering populated area,Deer,Medium,86
Odisha,3,2022,Conflict with humans,Snake,Low,134
Madhya Pradesh,6,2021,Wild animal entering populated area,Bear,Low,65
Karnataka,6,2025,Wild animal entering populated area,Monkey,Low,40
Karnataka,3,2021,Wild animal entering populated area,Bear,Medium,109
Assam,7,2022,Wild animal entering populated area,Elephant,Low,58
Tamil Nadu,3,2020,Injury/Death,Monkey,High,181
Tamil Nadu,8,2024,Conflict with humans,Snake,Critical,923
Maharashtra,10,2020,Conflict with humans,Monkey,Low,31
Madhya Pradesh,4,2018,Conflict with humans,Bear,Low,39
Rajasthan,1,2024,Trap/Accident,Deer,Low,119
Uttar Pradesh,4,2022,Conflict with humans,Bear,Low,18
Maharashtra,7,2023,Wild animal entering populated area,Monkey,Low,122
West Bengal,11,2019,Wild animal entering populated area,Elephant,Low,49
Maharashtra,4,2025,Poaching,Crocodile,Low,89
Uttarakhand,6,2022,Wild animal entering populated area,Rhino,Medium,48
Karnataka,9,2019,Wild animal entering populated area,Deer,High,539
Uttar Pradesh,1,2021,Wild animal entering populated area,Bear,Low,95
Tamil Nadu,5,2023,Wild animal entering populated area,Elephant,Medium,187
Tamil Nadu,11,2019,Injury/Death,Snake,Critical,994
Assam,7,2019,Wild animal entering populated area,Elephant,Low,140
Kerala,1,2021,Poaching,Tiger,Medium,175
Rajasthan,4,2022,Smuggling,Leopard,Medium,123
Maharashtra,6,2019,Injury/Death,Snake,Low,138
Maharashtra,2,2025,Smuggling,Monkey,Medium,161
Uttarakhand,10,2025,Wild animal entering populated area,Deer,High,425
West Bengal,5,2018,Injury/Death,Rhino,Medium,38
West Bengal,11,2025,Injury/Death,Rhino,Medium,92
Tamil Nadu,10,2021,Wild animal entering populated area,Elephant,High,85
West Bengal,1,2022,Conflict with humans,Rhino,Low,71
Uttar Pradesh,6,2025,Wild animal entering populated area,Monkey,Medium,94
Uttar Pradesh,6,2019,Injury/Death,Snake,Medium,161
Goa,4,2024,Trap/Accident,Monkey,Low,59
Assam,8,2023,Wild animal entering populated area,Elephant,High,285
Maharashtra,4,2020,Conflict with humans,Tiger,High,255
Uttar Pradesh,8,2023,Wild animal entering populated area,Monkey,High,420
Tamil Nadu,8,2022,Conflict with humans,Snake,Low,106
West Bengal,5,2020,Poaching,Tiger,Low,34
Uttar Pradesh,4,2024,Injury/Death,Monkey,Medium,158
West Bengal,12,2023,Illegal trade,Rhino,High,199
Uttarakhand,2,2021,Conflict with humans,Monkey,High,315
Uttar Pradesh,11,2022,Conflict with humans,Bear,High,371
Rajasthan,3,2022,Poaching,Leopard,Medium,133
Maharashtra,3,2021,Poaching,Leopard,Low,20
Tamil Nadu,4,2022,Trap/Accident,Monkey,High,73
Himachal Pradesh,4,2020,Wild animal entering populated area,Elephant,Low,99
Maharashtra,10,2023,Conflict with humans,Deer,Low,100
Karnataka,11,2019,Conflict with humans,Rhino,Low,70
Tamil Nadu,11,2020,Wild animal entering populated area,Elephant,High,441
Maharashtra,5,2022,Wild animal entering populated area,Elephant,Low,58
Assam,4,2022,Trap/Accident,Rhino,Critical,359
Karnataka,11,2019,Conflict with humans,Elephant,Medium,95
Uttar Pradesh,10,2019,Conflict with humans,Tiger,High,520
Assam,8,2018,Conflict with humans,Elephant,Medium,36
Uttar Pradesh,6,2018,Wild animal entering populated area,Bear,Medium,140
Madhya Pradesh,6,2023,Wild animal entering populated area,Bear,Low,56
Kerala,8,2025,Conflict with humans,Snake,High,235
Maharashtra,7,2021,Wild animal entering populated area,Bear,Low,96
Madhya Pradesh,10,2023,Wild animal entering populated area,Deer,High,231
Maharashtra,11,2019,Conflict with humans,Tiger,High,296
Uttarakhand,12,2022,Trap/Accident,Deer,Medium,125
Odisha,10,2019,Poaching,Monkey,Medium,175
Madhya Pradesh,8,2018,Wild animal entering populated area,Bear,Medium,94
Rajasthan,2,2023,Poaching,Leopard,Low,102
Uttarakhand,9,2023,Conflict with humans,Leopard,Low,100
Assam,1,2024,Poaching,Tiger,Low,47
Uttar Pradesh,8,2020,Wild animal entering populated area,Cheetah,Low,83
Maharashtra,12,2023,Smuggling,Monkey,High,443
Maharashtra,11,2022,Conflict with humans,Snake,Low,40
Tamil Nadu,12,2020,Conflict with humans,Tiger,Medium,101
Kerala,12,2021,Illegal trade,Leopard,Low,106
West Bengal,4,2024,Conflict with humans,Elephant,High,483
Madhya Pradesh,4,2022,Trap/Accident,Bear,High,356
Madhya Pradesh,5,2025,Conflict with humans,Leopard,Low,24
Maharashtra,8,2018,Wild animal entering populated area,Deer,Low,62
Madhya Pradesh,5,2021,Poaching,Leopard,Medium,198
Karnataka,8,2025,Wild animal entering populated area,Deer,Medium,199
Rajasthan,10,2021,Conflict with humans,Leopard,Medium,209
Rajasthan,1,2021,Poaching,Leopard,Critical,787
Uttarakhand,12,2021,Conflict with humans,Leopard,High,92
Tamil Nadu,10,2022,Conflict with humans,Leopard,High,501
Tamil Nadu,9,2018,Injury/Death,Snake,High,309
Tamil Nadu,6,2022,Wild animal entering populated area,Monkey,Low,73
Karnataka,3,2024,Wild animal entering populated area,Crocodile,High,225
Uttar Pradesh,8,2021,Wild animal entering populated area,Monkey,Low,94
Maharashtra,9,2023,Wild animal entering populated area,Bear,Critical,732
Uttar Pradesh,6,2022,Wild animal entering populated area,Crocodile,Medium,151
Madhya Pradesh,11,2019,Conflict with humans,Leopard,Low,70
Tamil Nadu,7,2023,Injury/Death,Snake,Critical,410
Assam,1,2022,Wild animal entering populated area,Rhino,High,172
Kerala,5,2019,Conflict with humans,Snake,Low,37
Kerala,5,2023,Wild animal entering populated area,Monkey,Medium,42
Karnataka,10,2023,Wild animal entering populated area,Elephant,Low,82
Maharashtra,4,2023,Smuggling,Leopard,Low,106
Karnataka,6,2022,Wild animal entering populated area,Monkey,Low,128
Himachal Pradesh,7,2022,Wild animal entering populated area,Rhino,Medium,153
Kerala,9,2024,Wild animal entering populated area,Rhino,High,192
West Bengal,1,2022,Conflict with humans,Elephant,Medium,80
Karnataka,6,2021,Wild animal entering populated area,Elephant,Medium,47
Kerala,7,2022,Poaching,Leopard,High,178
Uttar Pradesh,3,2025,Conflict with humans,Deer,Medium,192
Assam,8,2022,Poaching,Tiger,Low,53
Assam,5,2021,Wild animal entering populated area,Rhino,Low,30
Uttar Pradesh,9,2025,Conflict with humans,Snake,Medium,70
Odisha,5,2021,Wild animal entering populated area,Elephant,Medium,212
Rajasthan,9,2018,Wild animal entering populated area,Deer,Low,30
West Bengal,10,2018,Conflict with humans,Rhino,Low,141
West Bengal,4,2024,Conflict with humans,Tiger,Low,34
Madhya Pradesh,9,2021,Poaching,Leopard,Medium,106
West Bengal,5,2023,Wild animal entering populated area,Elephant,Medium,135
Karnataka,10,2018,Poaching,Tiger,Medium,182
Maharashtra,9,2024,Wild animal entering populated area,Elephant,Medium,56
Uttar Pradesh,3,2021,Conflict with humans,Rhino,Low,116
Tamil Nadu,4,2019,Wild animal entering populated area,Elephant,High,235
Tamil Nadu,9,2021,Poaching,Tiger,High,280
Maharashtra,10,2021,Illegal trade,Leopard,Medium,82
Uttar Pradesh,11,2021,Conflict with humans,Elephant,High,153
Tamil Nadu,6,2023,Wild animal entering populated area,Deer,Medium,180
Uttar Pradesh,2,2020,Illegal trade,Bear,High,458
Maharashtra,7,2023,Conflict with humans,Elephant,High,350
Madhya Pradesh,2,2022,Wild animal entering populated area,Bear,Critical,603
Maharashtra,11,2025,Smuggling,Deer,Low,137
Himachal Pradesh,2,2018,Wild animal entering populated area,Bear,Medium,211
Madhya Pradesh,11,2021,Illegal trade,Leopard,Low,37
West Bengal,1,2021,Conflict with humans,Elephant,Critical,510
Uttar Pradesh,11,2018,Illegal trade,Tiger,Low,58
Uttar Pradesh,11,2021,Poaching,Leopard,Medium,68
Rajasthan,12,2022,Conflict with humans,Leopard,Low,39
Kerala,11,2024,Trap/Accident,Crocodile,Low,84
Madhya Pradesh,3,2022,Smuggling,Wolf,Critical,712
Uttar Pradesh,6,2025,Wild animal entering populated area,Deer,High,183
Kerala,8,2020,Wild animal entering populated area,Wild Boar,Low,143
West Bengal,9,2023,Wild animal entering populated area,Elephant,Medium,71
Tamil Nadu,7,2022,Injury/Death,Snake,Medium,135
Uttar Pradesh,4,2025,Trap/Accident,Deer,Critical,769
Karnataka,6,2021,Wild animal entering populated area,Deer,Low,86
Maharashtra,5,2021,Wild animal entering populated area,Elephant,Low,29
Maharashtra,8,2022,Wild animal entering populated area,Cheetah,Medium,167
Madhya Pradesh,1,2024,Illegal trade,Bear,High,522
Tamil Nadu,1,2019,Wild animal entering populated area,Deer,Critical,870
Assam,11,2023,Conflict with humans,Elephant,Medium,151
Uttar Pradesh,6,2021,Wild animal entering populated area,Crocodile,Medium,46
Karnataka,10,2022,Conflict with humans,Snake,High,116
Karnataka,12,2023,Injury/Death,Monkey,Low,128
Uttar Pradesh,2,2021,Conflict with humans,Snake,Medium,184
Uttar Pradesh,5,2022,Conflict with humans,Monkey,Medium,45
Rajasthan,1,2021,Smuggling,Deer,Medium,176
Karnataka,7,2021,Wild animal entering populated area,Deer,Critical,791
Tamil Nadu,1,2022,Wild animal entering populated area,Monkey,Low,72
Goa,4,2024,Trap/Accident,Deer,Medium,89
Uttar Pradesh,9,2024,Wild animal entering populated area,Crocodile,Low,19
Tamil Nadu,1,2024,Poaching,Leopard,Medium,130
Rajasthan,4,2022,Trap/Accident,Bear,Low,51
Kerala,6,2020,Wild animal entering populated area,Bear,Medium,133
West Bengal,6,2018,Wild animal entering populated area,Elephant,Medium,116
Maharashtra,12,2025,Conflict with humans,Deer,High,242
Maharashtra,8,2021,Wild animal entering populated area,Wild Boar,Medium,20
West Bengal,1,2020,Conflict with humans,Elephant,Low,67
Uttarakhand,7,2023,Wild animal entering populated area,Rhino,Low,109
Goa,1,2019,Conflict with humans,Elephant,Low,110
West Bengal,7,2024,Conflict with humans,Elephant,Low,107
Madhya Pradesh,3,2019,Conflict with humans,Leopard,Medium,126
Madhya Pradesh,11,2021,Illegal trade,Leopard,Medium,105
Tamil Nadu,8,2018,Wild animal entering populated area,Rhino,Medium,70
Rajasthan,3,2024,Injury/Death,Deer,Medium,217
Maharashtra,1,2022,Conflict with humans,Elephant,Low,90
Tamil Nadu,8,2020,Wild animal entering populated area,Monkey,Low,106
Odisha,3,2024,Poaching,Monkey,Medium,145
Assam,2,2023,Illegal trade,Tiger,Low,140
Uttar Pradesh,1,2021,Wild animal entering populated area,Elephant,High,206
Rajasthan,3,2024,Wild animal entering populated area,Deer,Medium,120
Odisha,2,2021,Wild animal entering populated area,Deer,Low,38
Tamil Nadu,2,2022,Injury/Death,Bear,Low,135
Tamil Nadu,6,2020,Wild animal entering populated area,Monkey,Low,41
Kerala,12,2021,Wild animal entering populated area,Bear,Medium,40
Kerala,1,2022,Injury/Death,Monkey,Medium,174
West Bengal,2,2022,Wild animal entering populated area,Elephant,Medium,106
Madhya Pradesh,6,2023,Wild animal entering populated area,Deer,Low,96
Assam,3,2020,Wild animal entering populated area,Rhino,Medium,61
West Bengal,4,2018,Illegal trade,Tiger,Medium,218
Rajasthan,1,2023,Smuggling,Bear,Low,62
West Bengal,8,2024,Wild animal entering populated area,Rhino,Critical,742
Uttar Pradesh,7,2022,Wild animal entering populated area,Deer,High,275
Himachal Pradesh,7,2020,Wild animal entering populated area,Crocodile,Medium,166
Tamil Nadu,3,2025,Smuggling,Crocodile,Low,120
Karnataka,10,2023,Poaching,Leopard,High,505
Karnataka,10,2022,Wild animal entering populated area,Rhino,Low,110
Odisha,3,2025,Wild animal entering populated area,Bear,High,62
Uttar Pradesh,2,2022,Trap/Accident,Monkey,Low,111
Karnataka,12,2022,Illegal trade,Tiger,Medium,106
Maharashtra,1,2023,Illegal trade,Deer,High,495
Maharashtra,7,2021,Conflict with humans,Leopard,Medium,228
Madhya Pradesh,7,2022,Wild animal entering populated area,Bear,Low,125
Maharashtra,12,2022,Conflict with humans,Elephant,Low,45
Kerala,2,2022,Trap/Accident,Deer,Low,58
Madhya Pradesh,7,2021,Illegal trade,Leopard,Medium,202
Madhya Pradesh,8,2019,Wild animal entering populated area,Deer,Low,124
Maharashtra,1,2019,Wild animal entering populated area,Monkey,Critical,378
Tamil Nadu,9,2023,Wild animal entering populated area,Rhino,Medium,137
Uttarakhand,7,2021,Poaching,Tiger,Low,107
Maharashtra,3,2021,Injury/Death,Deer,Medium,88
Tamil Nadu,8,2021,Wild animal entering populated area,Monkey,High,133
Karnataka,7,2024,Smuggling,Tiger,Low,93
Madhya Pradesh,11,2018,Conflict with humans,Bear,Medium,157
Kerala,8,2020,Wild animal entering populated area,Bear,Low,101
Kerala,6,2021,Wild animal entering populated area,Bear,Critical,632
Karnataka,9,2024,Injury/Death,Snake,Low,94
Uttar Pradesh,5,2023,Illegal trade,Crocodile,Low,53
Uttar Pradesh,3,2020,Wild animal entering populated area,Monkey,Critical,861
West Bengal,3,2022,Wild animal entering populated area,Rhino,Medium,190
Karnataka,1,2021,Wild animal entering populated area,Deer,Low,70
Uttar Pradesh,12,2019,Trap/Accident,Deer,Critical,918
Tamil Nadu,8,2020,Wild animal entering populated area,Elephant,Critical,772
Assam,2,2020,Illegal trade,Wolf,Low,44
Uttar Pradesh,3,2024,Illegal trade,Leopard,Low,61
Rajasthan,8,2022,Wild animal entering populated area,Deer,Critical,554
Tamil Nadu,8,2022,Wild animal entering populated area,Crocodile,High,190
Kerala,11,2021,Injury/Death,Rhino,High,65
Uttar Pradesh,4,2023,Conflict with humans,Deer,Low,79
Madhya Pradesh,4,2018,Smuggling,Bear,Low,69
Tamil Nadu,5,2019,Wild animal entering populated area,Crocodile,High,389
Odisha,6,2019,Wild animal entering populated area,Rhino,Low,142
Odisha,5,2020,Injury/Death,Snake,Low,125
Uttar Pradesh,7,2024,Wild animal entering populated area,Monkey,Medium,208
Tamil Nadu,2,2023,Illegal trade,Crocodile,Critical,252
Uttar Pradesh,7,2019,Wild animal entering populated area,Rhino,Low,86
Rajasthan,10,2024,Conflict with humans,Deer,High,238
Odisha,7,2025,Conflict with humans,Leopard,Medium,25
Kerala,1,2022,Injury/Death,Crocodile,High,155
Kerala,7,2018,Wild animal entering populated area,Crocodile,Medium,220
Maharashtra,5,2024,Wild animal entering populated area,Elephant,Low,61
Karnataka,3,2019,Illegal trade,Tiger,High,237
West Bengal,3,2022,Wild animal entering populated area,Elephant,Medium,83
Madhya Pradesh,4,2024,Smuggling,Bear,Low,50
Rajasthan,12,2025,Wild animal entering populated area,Deer,Critical,688
Maharashtra,2,2021,Injury/Death,Snake,Medium,149
Madhya Pradesh,2,2021,Trap/Accident,Deer,High,468
Madhya Pradesh,1,2023,Conflict with humans,Leopard,High,502
Tamil Nadu,5,2019,Poaching,Tiger,Low,100
Kerala,4,2025,Trap/Accident,Bear,High,316
Tamil Nadu,11,2023,Wild animal entering populated area,Cheetah,Medium,192
Uttarakhand,10,2019,Smuggling,Bear,Low,79
Maharashtra,2,2019,Conflict with humans,Bear,Low,120
Uttar Pradesh,3,2023,Smuggling,Rhino,Low,108
Odisha,7,2025,Wild animal entering populated area,Monkey,High,384
Karnataka,7,2022,Conflict with humans,Leopard,High,232
Uttar Pradesh,12,2024,Conflict with humans,Elephant,Medium,194
Tamil Nadu,4,2025,Wild animal entering populated area,Monkey,Low,53
Maharashtra,5,2025,Wild animal entering populated area,Monkey,Low,48
Maharashtra,5,2020,Conflict with humans,Tiger,Medium,138
Uttar Pradesh,6,2024,Illegal trade,Tiger,High,427
Karnataka,9,2020,Poaching,Tiger,High,189
Odisha,2,2019,Conflict with humans,Cheetah,Low,30
Tamil Nadu,5,2024,Conflict with humans,Wild Boar,High,151
Maharashtra,12,2021,Wild animal entering populated area,Crocodile,High,306
Odisha,3,2022,Wild animal entering populated area,Deer,Low,119
Madhya Pradesh,4,2021,Trap/Accident,Deer,Critical,434
West Bengal,10,2023,Smuggling,Tiger,High,323
Kerala,6,2020,Wild animal entering populated area,Deer,Low,43
Maharashtra,12,2021,Injury/Death,Bear,Medium,173
Tamil Nadu,8,2019,Wild animal entering populated area,Crocodile,Low,113
Madhya Pradesh,1,2019,Conflict with humans,Leopard,Medium,121
Assam,10,2025,Wild animal entering populated area,Elephant,Low,115
Maharashtra,8,2021,Wild animal entering populated area,Elephant,Critical,154
Assam,11,2020,Conflict with humans,Elephant,Medium,92
Uttar Pradesh,7,2022,Wild animal entering populated area,Monkey,Medium,96
Maharashtra,1,2022,Conflict with humans,Elephant,Medium,99
Maharashtra,2,2021,Wild animal entering populated area,Bear,Critical,183
Karnataka,3,2025,Smuggling,Wild Boar,Low,67
Madhya Pradesh,1,2021,Conflict with humans,Bear,High,235
Rajasthan,9,2021,Poaching,Leopard,Medium,49
Assam,8,2023,Wild animal entering populated area,Elephant,Low,106
Rajasthan,2,2025,Smuggling,Leopard,Critical,125
Maharashtra,9,2024,Wild animal entering populated area,Bear,Low,82
Tamil Nadu,7,2025,Wild animal entering populated area,Elephant,Medium,124
Tamil Nadu,9,2021,Wild animal entering populated area,Crocodile,Low,103
Maharashtra,6,2023,Wild animal entering populated area,Wild Boar,Low,88
Uttar Pradesh,6,2024,Conflict with humans,Elephant,Medium,167
Kerala,11,2018,Injury/Death,Deer,Medium,146
Uttar Pradesh,4,2025,Conflict with humans,Deer,Low,100
Maharashtra,10,2022,Conflict with humans,Bear,Medium,127
Madhya Pradesh,10,2024,Conflict with humans,Cheetah,Low,33
Rajasthan,2,2023,Conflict with humans,Deer,Low,32
Maharashtra,7,2025,Conflict with humans,Tiger,Critical,680
Uttar Pradesh,5,2023,Injury/Death,Snake,Low,113
Karnataka,11,2024,Illegal trade,Tiger,Low,40
Maharashtra,6,2020,Wild animal entering populated area,Monkey,Critical,160
Uttar Pradesh,2,2022,Poaching,Wild Boar,Low,71
West Bengal,5,2021,Conflict with humans,Elephant,High,88
Karnataka,10,2025,Injury/Death,Crocodile,High,237
Uttar Pradesh,4,2021,Wild animal entering populated area,Elephant,Medium,160
West Bengal,9,2024,Conflict with humans,Elephant,Medium,107
Maharashtra,6,2019,Wild animal entering populated area,Deer,Low,58
Odisha,2,2024,Poaching,Wild Boar,Medium,155
Himachal Pradesh,1,2024,Illegal trade,Bear,Medium,234
Rajasthan,5,2021,Poaching,Leopard,Low,99
Uttar Pradesh,9,2025,Conflict with humans,Tiger,Medium,57
Odisha,6,2021,Injury/Death,Snake,High,514
Goa,10,2025,Conflict with humans,Deer,Medium,129
Uttar Pradesh,12,2020,Injury/Death,Monkey,Medium,124
Uttar Pradesh,7,2019,Injury/Death,Snake,Medium,49
West Bengal,5,2024,Wild animal entering populated area,Elephant,High,427
Odisha,10,2020,Illegal trade,Deer,Low,149
Karnataka,6,2020,Poaching,Leopard,Low,76
Maharashtra,5,2024,Poaching,Crocodile,Low,19
Kerala,11,2025,Illegal trade,Deer,Critical,162
Tamil Nadu,9,2023,Poaching,Leopard,Medium,193
Assam,6,2024,Conflict with humans,Elephant,High,296
West Bengal,11,2023,Conflict with humans,Elephant,Medium,229
Kerala,8,2021,Wild animal entering populated area,Bear,High,265
Assam,2,2018,Conflict with humans,Tiger,Medium,72
Tamil Nadu,12,2024,Wild animal entering populated area,Elephant,Medium,88
Maharashtra,9,2024,Wild animal entering populated area,Deer,Low,107
Rajasthan,5,2025,Trap/Accident,Bear,Low,51
Uttarakhand,7,2022,Wild animal entering populated area,Monkey,High,155
Karnataka,10,2021,Illegal trade,Bear,High,322
Kerala,1,2024,Poaching,Leopard,Low,64
Uttar Pradesh,10,2023,Conflict with humans,Deer,Low,107
Assam,5,2024,Conflict with humans,Tiger,Low,78
West Bengal,12,2024,Wild animal entering populated area,Elephant,High,109
Kerala,10,2024,Injury/Death,Deer,High,417
Maharashtra,2,2023,Conflict with humans,Crocodile,High,236
Kerala,12,2022,Wild animal entering populated area,Deer,Medium,104
Uttar Pradesh,6,2021,Injury/Death,Snake,Critical,968
Tamil Nadu,11,2022,Conflict with humans,Bear,Critical,234
Maharashtra,1,2024,Conflict with humans,Crocodile,High,379
Karnataka,3,2023,Trap/Accident,Wild Boar,Low,116
Maharashtra,5,2022,Wild animal entering populated area,Elephant,High,171
Odisha,4,2018,Trap/Accident,Monkey,Low,115
Uttar Pradesh,3,2018,Illegal trade,Deer,Low,94
Odisha,10,2023,Wild animal entering populated area,Rhino,Medium,185
Rajasthan,5,2023,Poaching,Leopard,High,506
Karnataka,11,2024,Wild animal entering populated area,Monkey,High,315
Assam,8,2019,Wild animal entering populated area,Wolf,Medium,143
Karnataka,11,2021,Conflict with humans,Tiger,High,313
Tamil Nadu,4,2022,Poaching,Tiger,Critical,685
Kerala,1,2021,Injury/Death,Snake,High,226
Madhya Pradesh,11,2019,Poaching,Leopard,Low,92
Tamil Nadu,7,2019,Wild animal entering populated area,Wild Boar,Low,128
Maharashtra,8,2022,Illegal trade,Tiger,Low,96
Tamil Nadu,3,2025,Smuggling,Monkey,Low,40
Madhya Pradesh,6,2024,Smuggling,Leopard,Low,45
Assam,2,2023,Wild animal entering populated area,Rhino,Low,87
Madhya Pradesh,7,2024,Wild animal entering populated area,Deer,Low,108
Uttar Pradesh,8,2023,Wild animal entering populated area,Monkey,Medium,140
Odisha,6,2024,Wild animal entering populated area,Wolf,Medium,173
Uttar Pradesh,6,2021,Wild animal entering populated area,Monkey,High,95
Uttar Pradesh,5,2022,Conflict with humans,Monkey,Medium,157
Odisha,8,2023,Conflict with humans,Snake,Critical,117
Uttar Pradesh,1,2020,Wild animal entering populated area,Elephant,High,286
Kerala,10,2023,Injury/Death,Deer,High,505
Assam,4,2024,Illegal trade,Rhino,Low,92
Maharashtra,4,2024,Conflict with humans,Crocodile,Medium,118
West Bengal,3,2020,Conflict with humans,Tiger,High,57
Madhya Pradesh,3,2021,Conflict with humans,Deer,Low,83
Rajasthan,4,2020,Smuggling,Deer,Low,108
Tamil Nadu,11,2024,Wild animal entering populated area,Monkey,Critical,383
Maharashtra,1,2025,Conflict with humans,Deer,Medium,37
West Bengal,11,2024,Wild animal entering populated area,Elephant,Low,46
Tamil Nadu,11,2020,Injury/Death,Snake,High,71
West Bengal,2,2025,Wild animal entering populated area,Elephant,Low,70
Uttar Pradesh,9,2025,Wild animal entering populated area,Bear,Medium,233
West Bengal,10,2023,Poaching,Tiger,Low,42
Tamil Nadu,2,2022,Wild animal entering populated area,Elephant,Low,41
Maharashtra,5,2025,Conflict with humans,Deer,Low,106
Madhya Pradesh,9,2025,Conflict with humans,Leopard,Medium,202
Tamil Nadu,9,2020,Wild animal entering populated area,Monkey,Medium,140
Odisha,8,2023,Conflict with humans,Lion,Low,107
Tamil Nadu,1,2019,Conflict with humans,Snake,Medium,141
Odisha,1,2021,Injury/Death,Monkey,Low,49
Odisha,9,2021,Wild animal entering populated area,Bear,Medium,47
Maharashtra,11,2020,Conflict with humans,Leopard,Low,35
West Bengal,8,2019,Wild animal entering populated area,Rhino,Critical,901
Tamil Nadu,10,2021,Wild animal entering populated area,Rhino,Low,77
Kerala,9,2025,Wild animal entering populated area,Monkey,Low,75
Himachal Pradesh,7,2019,Conflict with humans,Tiger,Low,80
Odisha,3,2023,Smuggling,Monkey,Medium,80
Maharashtra,3,2021,Wild animal entering populated area,Crocodile,Critical,379
West Bengal,2,2025,Wild animal entering populated area,Elephant,Low,95
Kerala,5,2022,Injury/Death,Monkey,High,142
Maharashtra,12,2023,Wild animal entering populated area,Deer,High,169
Maharashtra,12,2019,Conflict with humans,Tiger,Low,48
Kerala,3,2023,Wild animal entering populated area,Monkey,Medium,43
Tamil Nadu,6,2020,Poaching,Leopard,High,281
Uttar Pradesh,2,2024,Conflict with humans,Lion,High,342
Rajasthan,12,2024,Wild animal entering populated area,Deer,Low,77
West Bengal,3,2020,Wild animal entering populated area,Elephant,High,55
Himachal Pradesh,5,2022,Wild animal entering populated area,Rhino,Medium,114
Himachal Pradesh,12,2019,Injury/Death,Snake,High,152
Tamil Nadu,11,2024,Trap/Accident,Crocodile,Low,61
Goa,11,2022,Injury/Death,Monkey,Medium,124
Rajasthan,1,2025,Poaching,Leopard,Critical,521
Rajasthan,1,2020,Injury/Death,Deer,High,478
Uttar Pradesh,10,2023,Illegal trade,Bear,Medium,112
West Bengal,9,2021,Conflict with humans,Elephant,Medium,94
Karnataka,7,2021,Poaching,Leopard,High,66
Maharashtra,1,2019,Conflict with humans,Snake,High,186
Assam,12,2020,Wild animal entering populated area,Rhino,High,213
Uttar Pradesh,8,2020,Wild animal entering populated area,Rhino,Medium,96
Uttar Pradesh,3,2022,Conflict with humans,Tiger,Low,86
Rajasthan,8,2025,Wild animal entering populated area,Bear,Low,85
Karnataka,5,2021,Injury/Death,Snake,Medium,49
Uttarakhand,1,2023,Smuggling,Wild Boar,Medium,228
Uttar Pradesh,7,2022,Conflict with humans,Leopard,High,200
Odisha,5,2018,Trap/Accident,Deer,Medium,55
Tamil Nadu,6,2019,Injury/Death,Snake,Low,99
Madhya Pradesh,6,2021,Wild animal entering populated area,Bear,Medium,154
Uttar Pradesh,8,2023,Wild animal entering populated area,Deer,Medium,154
Maharashtra,9,2023,Wild animal entering populated area,Bear,High,40
Madhya Pradesh,2,2023,Smuggling,Leopard,High,327
Uttar Pradesh,9,2023,Wild animal entering populated area,Monkey,Critical,988
Madhya Pradesh,12,2023,Trap/Accident,Bear,Low,108
Uttar Pradesh,11,2020,Poaching,Monkey,High,470
Maharashtra,10,2019,Conflict with humans,Deer,Low,28
West Bengal,9,2018,Conflict with humans,Cheetah,Medium,155
Uttarakhand,10,2021,Trap/Accident,Deer,Low,50
Tamil Nadu,10,2020,Wild animal entering populated area,Crocodile,Low,100
Tamil Nadu,7,2025,Wild animal entering populated area,Crocodile,Low,32
Maharashtra,1,2025,Conflict with humans,Monkey,Medium,219
Rajasthan,7,2025,Illegal trade,Wolf,Low,41
Madhya Pradesh,10,2025,Smuggling,Bear,Medium,61
Madhya Pradesh,5,2022,Conflict with humans,Bear,Low,148
Assam,6,2023,Wild animal entering populated area,Rhino,Medium,98
Odisha,10,2018,Wild animal entering populated area,Deer,Critical,492
West Bengal,7,2020,Wild animal entering populated area,Rhino,Critical,416
Kerala,5,2022,Conflict with humans,Snake,Low,95
Uttar Pradesh,7,2021,Wild animal entering populated area,Monkey,Low,54
Maharashtra,9,2021,Wild animal entering populated area,Crocodile,Low,113
Karnataka,3,2021,Wild animal entering populated area,Deer,Critical,325
Maharashtra,8,2025,Wild animal entering populated area,Deer,Low,89
Kerala,2,2022,Wild animal entering populated area,Monkey,High,102
Maharashtra,11,2022,Smuggling,Deer,Low,65
Rajasthan,7,2020,Illegal trade,Leopard,Medium,166
Tamil Nadu,2,2022,Injury/Death,Snake,Low,46
Kerala,4,2025,Illegal trade,Monkey,Low,79
Rajasthan,7,2024,Smuggling,Leopard,Low,113
West Bengal,3,2019,Conflict with humans,Elephant,Medium,62
Maharashtra,2,2021,Conflict with humans,Rhino,High,61
Tamil Nadu,11,2022,Injury/Death,Monkey,Low,93
Odisha,10,2019,Conflict with humans,Tiger,High,261
Assam,7,2019,Poaching,Tiger,Critical,595
